target_cbsa,cbsa_code,county_geoid,tract_geoid,year,eligible_v1,gate_pop,gate_price,gate_density,pop_growth_5yr,units_per_1k_3yr,pop_density,price_proxy_pctl,commute_intensity_b,growth_raw,units_raw,headroom_raw,price_raw,commute_raw,z_growth,z_units,z_headroom,z_price,z_commute,contrib_growth,contrib_units,contrib_headroom,contrib_price,contrib_commute,tract_score,tract_rank,why_tags,is_scored
27260,27260,12031,12031012400,2024,0,0,1,1,-0.1129842180774749,3745.922631082356,2875.6611495302573,0.21722985347985346,21.813194901211357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012500,2024,0,1,1,0,0.20178614530533429,1860.5476333935862,5155.032448479039,0.20055860805860803,21.617450196431154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012601,2024,0,1,1,0,0.4592875318066158,2019.1078174949141,4123.3906259281275,0.3104258241758242,16.506329854639255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012602,2024,0,0,1,1,-0.023157208088714937,1546.521981079577,3292.416691955589,0.3348076923076923,19.320280326960212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012702,2024,0,0,1,1,-0.050822609545528585,1589.783193181168,1179.6066789027268,0.35347527472527474,29.28636330038242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012703,2024,0,0,1,0,0.1644927536231884,1441.1429164073843,3644.5190335539023,0.451959706959707,25.330335558953706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012704,2024,0,0,1,0,-0.052707321460694366,1759.1467274338522,4550.469794280942,0.12845238095238096,21.129855506669116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012800,2024,0,0,1,0,-9.684560044272275e-4,1282.8786410007847,3744.9022830549543,0.25548992673992676,21.680310182982655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031012900,2024,0,0,1,0,-0.05528169014084507,3452.727046838116,4293.4725537408585,0.23342032967032966,25.17227845675012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013000,2024,0,1,0,1,0.1917517006802721,3304.9114044476155,2735.554138720162,0.7105402930402931,16.75969911097777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
